# KIC neighbours within 25 arcsec of a DR25 object of interest with r - J < -0.5 (Section 2.6)
# 135 rows
#
# koi          [-]  DR25 object of interest
# disposition  [-]  DR25 disposition of that object
# kic          [-]  KIC identifier of the neighbour
# ra           [deg]  KIC right ascension, J2000
# dec          [deg]  KIC declination, J2000
# sep_as       [arcsec]  separation from the object of interest
# kepmag       [mag]  KIC Kepler magnitude
# rmag         [mag]  KIC r magnitude
# jmag         [mag]  KIC J magnitude
# r_minus_J    [mag]  KIC r minus KIC J
# gaia_G       [mag]  Gaia DR3 G of the best match within 2 arcsec; blank if none
# G_minus_r    [mag]  Gaia G minus KIC r; blank if no match
koi,disposition,kic,ra,dec,sep_as,kepmag,rmag,jmag,r_minus_J,gaia_G,G_minus_r
K02731.01,FALSE POSITIVE,4072354,295.33514,39.167839,23.636467,15.653,15.604,16.259,-0.6550000000000011,17.135113,1.5311130000000013
K05157.01,CANDIDATE,5391891,298.89337,40.578239,9.246494,15.697,15.694,16.338,-0.6440000000000001,17.066078,1.3720780000000001
K05440.01,CANDIDATE,7888875,291.08127,43.608555,17.476552,15.338,15.3,15.934,-0.6339999999999986,20.923548,5.6235479999999995
K07555.01,FALSE POSITIVE,5024369,295.31137,40.188236,15.100151,12.94,12.94,13.573,-0.6330000000000009,14.750296,1.810296000000001
K07714.01,FALSE POSITIVE,5024369,295.31137,40.188236,19.04631,12.94,12.94,13.573,-0.6330000000000009,14.750296,1.810296000000001
K00156.01,CONFIRMED,10925092,294.11795,48.349693,8.348705,15.998,15.948,16.579,-0.6310000000000002,18.514666,2.566665999999998
K00156.02,CONFIRMED,10925092,294.11795,48.349693,8.348705,15.998,15.948,16.579,-0.6310000000000002,18.514666,2.566665999999998
K00156.03,CONFIRMED,10925092,294.11795,48.349693,8.348705,15.998,15.948,16.579,-0.6310000000000002,18.514666,2.566665999999998
K02557.01,FALSE POSITIVE,10925092,294.11795,48.349693,14.453085,15.998,15.948,16.579,-0.6310000000000002,18.514666,2.566665999999998
K01464.01,FALSE POSITIVE,7838642,296.91528,43.51247,18.917484,16.039,16.003,16.632,-0.6290000000000013,17.125988,1.1229879999999994
K08180.01,CANDIDATE,9268154,285.32401,45.75211,11.415983,14.86,14.86,15.466,-0.6059999999999999,16.53298,1.672979999999999
K02817.01,CONFIRMED,7605119,291.00113,43.249268,24.436227,14.75,14.75,15.349,-0.5990000000000002,16.619043,1.8690430000000013
K03820.01,FALSE POSITIVE,5217711,298.93063,40.398975,21.481804,15.551,15.43,16.021,-0.5910000000000011,17.627331,2.197331000000002
K03431.01,FALSE POSITIVE,9267997,285.22391,45.709293,3.934785,12.404,12.333,12.911,-0.5779999999999994,,
K01060.02,CONFIRMED,5880334,293.08978,41.137947,16.624272,15.254,15.183,15.756,-0.5730000000000004,16.965572,1.7825720000000018
K01060.03,CONFIRMED,5880334,293.08978,41.137947,16.624272,15.254,15.183,15.756,-0.5730000000000004,16.965572,1.7825720000000018
K01060.04,CONFIRMED,5880334,293.08978,41.137947,16.624272,15.254,15.183,15.756,-0.5730000000000004,16.965572,1.7825720000000018
K01060.01,CONFIRMED,5880334,293.08978,41.137947,16.624272,15.254,15.183,15.756,-0.5730000000000004,16.965572,1.7825720000000018
K03847.01,FALSE POSITIVE,7289174,293.96829,42.832092,5.079234,15.58,15.58,16.152,-0.572000000000001,,
K00399.01,FALSE POSITIVE,7289174,293.96829,42.832092,19.544807,15.58,15.58,16.152,-0.572000000000001,,
K01887.01,FALSE POSITIVE,11019844,286.47025,48.500763,19.985484,14.234,14.18,14.746,-0.5660000000000007,19.248339,5.068339000000002
K07748.01,FALSE POSITIVE,5887381,295.06027,41.123112,8.814358,15.8,15.8,16.358,-0.5579999999999998,17.906424,2.1064240000000005
K03469.01,CANDIDATE,4844475,294.25125,39.945328,5.559076,16.2,16.2,16.738,-0.5380000000000003,18.206692,2.006692000000001
K03846.01,FALSE POSITIVE,7983728,298.83765,43.724319,17.321345,15.384,15.145,15.681,-0.5359999999999996,17.316547,2.1715470000000003
K06047.01,FALSE POSITIVE,7914915,298.81952,43.673035,8.008172,16.304,16.247,16.78,-0.5330000000000013,18.528358,2.281358000000001
K00042.01,CONFIRMED,8866110,283.15189,45.133488,23.037273,15.691,15.694,16.225,-0.5310000000000006,18.04285,2.3488500000000005
