kepid,offset_as,sigma_as,east_as,north_as,east_err_as,north_err_as,n_panels,n_skipped,median_panel_snr,median_panel_quality,dr25_offset_as,dr25_offset_err_as
6035335,0.09899738333288714,0.032409580412820355,0.053149566637543576,0.08352009023582241,0.02118162659027419,0.03597299418581528,36,15,1033.5033588652022,0.9991612601661055,0.18009,0.0868
5978361,0.11571731685836573,0.08305494672560146,0.10229529416171398,-0.05409408667560456,0.089481959452049,0.05415329249301086,17,0,20.14817082738535,0.9763220186959437,0.15288,0.108
5709725,0.33107485650922625,0.07772933152013237,0.3238355453487777,-0.06885564741736516,0.07343034790085705,0.14288334694523402,30,1,14.418953789177689,0.9530464300237462,0.15907,0.179
5774349,0.34264255268461236,0.11682757909758679,0.2434445965947309,0.24111957054344657,0.10162455220000154,0.13051503580185858,13,0,22.815893404967518,0.9848109458448278,0.46795,0.183
5814013,7.644414666207475,0.23026160589970732,7.644080083489392,0.0715210886994555,0.2302687893941145,0.12341175132419258,14,0,54.41389996082069,0.9759245985782459,4.7626,0.52
5819157,2.052273095116494,0.32899026920858704,-1.9559367135954058,0.6213987683835853,0.30264888544976193,0.5225704277883342,16,1,30.568208179473082,0.7354224409299243,0.62969,0.426
5716932,1.8641393194310827,0.535690074104792,0.8465623767332809,-1.6608273674734164,0.47517284554014044,0.5503254607752587,13,0,40.06549794342001,0.9000020863509095,0.34103,0.39
6522144,0.2991066689785608,0.13061202320442047,0.005051676925258448,0.29906400650645537,0.2349392156893607,0.13057036076066608,17,0,103.41226629676966,0.9842751684771893,2.3527,0.918
6464285,0.3010239478149082,0.02025313186926706,-0.29946969098418924,-0.03055030834389072,0.0202927663718149,0.015992886815602517,17,0,26160.028240900167,0.9993771975210997,0.13358,0.0672
6357958,0.07675795510509603,0.0524028784389457,0.07461543317608094,-0.018008909013644825,0.04808720482656969,0.10094990682910529,14,2,122.62085563513568,0.9963082143268421,0.10003,0.1
6392601,0.2765397615908775,0.1503312330295854,0.1296364296192495,0.24427164357803122,0.20828371833331727,0.12940663047128942,31,3,64.05935403400449,0.9775428600392896,0.25486,0.109
6233748,1.305880339164602,0.3260034835793341,-1.2468145734376126,0.3882999867116155,0.3333841785235019,0.23685649162131464,12,5,72.36028593527433,0.7794758041002755,0.28853,0.372
6233890,9.93812664578844,0.2047862488089414,5.993614090536841,7.927354625689986,0.23827905358342852,0.18290595383905575,31,3,1230.2851979091154,0.9869854242968068,10.787,0.0802
6292452,0.9333879436860315,0.3344166595833473,0.9317740639536717,-0.05486480804393068,0.3342987430496982,0.36684819168841165,23,2,53.156568598304176,0.8204679406605193,0.21445,0.294
6197810,1.0242911435588726,0.22282598866283418,0.9004804585021797,0.4881672773024093,0.20167302424760203,0.283204511713462,34,0,119.24563980981054,0.8768431611331284,0.87873,0.278
6206627,0.31294287042770425,0.2600556381764598,-0.20499403307375355,0.23645440692803277,0.3177338761608418,0.20635201495598116,12,8,164.31414370918588,0.9596925679588597,0.13828,0.23
6307537,0.1021627082132521,0.019917180150805486,-0.1016321865833114,-0.010397961327157645,0.019972879990502672,0.013580351330061824,33,0,34799.227579307546,0.999513040545583,0.051675,0.0679
6309129,3.0920006490147163,0.5623412613248041,-3.0372693443648497,-0.5791916291599364,0.5382350382344435,1.0226461364736448,19,15,172.29131419390467,0.6725575532844709,2.3493,1.27
6145939,0.31206654751366897,0.02375617177854401,-0.15822137699973476,0.268982389641792,0.029564468918749802,0.021382169024246243,8,0,9962.694306660982,0.9991497680184032,0.3518,0.0688
6119141,11.001763081613284,0.25698327355758604,6.0145198431016995,9.212184429378567,0.43024021612920604,0.12364053644393573,13,4,20.456469038206393,0.815520791072467,11.493,1.57
7008211,0.4928241990862646,0.28065591349718627,0.39532621211369584,0.2942666770479718,0.06304151764912039,0.46233651940377707,5,1,8.660127815160326,0.8736818868049218,0.5968,0.369
6960913,0.24858606706180034,0.0751526259621548,-0.2367787081689003,0.07570255012296911,0.0730648506752338,0.09314054593020084,17,0,21.819589421148883,0.9811154840309046,0.13858,0.109
6952259,1.101893210225679,0.3193694547237801,0.5197705579083598,-0.9716003364928838,0.29175574281571115,0.32684301742270516,14,3,86.00610279397179,0.9437019635882992,0.053529,0.269
7031638,0.5005889008987197,0.6460061185612369,0.17978185430627638,0.46719132329826607,0.43268357813533753,0.671862242446753,13,4,22.92262920102075,0.680838714937979,1.0051,0.856
7033671,0.47344861181895903,0.14126681713907183,0.46033175253517267,-0.11067188279412221,0.14223376373024893,0.12334356439883978,17,0,25.98817786413701,0.9732814080413603,0.055353,0.191
6867555,0.13576700798054536,0.264401293469566,-0.04007712053039446,0.12971701841308914,0.2650144825137719,0.2643426870843809,13,1,9.904600921166367,0.9355627436025695,0.20887,0.192
7031126,0.5314544553413845,0.46976017774783413,0.44366409842620663,0.2925850404068342,0.49186812041469347,0.41447725339857167,11,6,9.325236641919835,0.6541006293183633,0.98988,0.673
6863839,7.894314046914067,0.2756309621675332,-0.8215968551452902,7.851443999604157,0.552739849502131,0.2710329160180959,17,0,191.0419768008689,0.9331256289810594,10.914,0.601
6965758,0.25074876532133616,0.25644568787900035,-0.2053255805989242,-0.14393175209761466,0.2692885020693797,0.2280876865204196,32,2,46.30215031568507,0.8681721372168607,0.53525,0.364
6594972,0.08071439432977581,0.02258925675602599,-0.02010906068318121,-0.0781692978762294,0.010484408945105408,0.02316827233455092,34,0,16427.127500795315,0.9998645674015155,0.090062,0.0705
6586052,1.1064607193106013,0.4832229444947163,0.5541536795126729,0.9576894187887319,0.5591134124267957,0.45499344581623186,20,8,162.5354817524016,0.9082004947484434,2.3947,1.02
6782960,0.015141641276960398,0.18639096684025683,-0.012747390258938323,-0.008171495710485033,0.1644364352914691,0.23126904359143644,16,1,296.62825428952556,0.9173914002320451,0.11617,0.109
7303287,0.13909351580446763,0.14425957123198502,0.13719035524990225,-0.022930603246607006,0.1457047387373266,0.07623155204161872,26,4,38.26846702754618,0.9842684725065648,0.078704,0.0687
7304449,0.8052842399010491,0.09279622160696038,-0.09260873252724644,-0.7999414539156646,0.08677145529968498,0.09287431474106853,16,0,14.521394906262296,0.9682770350648935,0.68322,0.104
7382313,0.38022529516485265,0.30685075600386336,0.3655517380974281,-0.10460975985608911,0.30081314990926294,0.37277036810677805,16,1,7.369024973231079,0.8862996118507565,0.53043,0.318
7357531,1.6560631435699358,0.142939956857424,-0.9748521602980049,1.3387338798480641,0.027364596619134738,0.17569561061960512,4,0,86.31407032870437,0.9953093086098233,1.1974,0.18
7199037,5.420471373646032,0.5115068302136196,-5.336424663474441,0.9508321216586069,0.47512418607609186,1.1799684124047949,14,3,828462.5139565596,0.83296994468673,4.4817,0.801
7098355,0.2088623329876329,0.1418711098324907,0.17385591708321152,-0.11574797724449581,0.11695534863884009,0.18621619881040893,13,0,16.999328177775116,0.9680517483731286,0.15301,0.171
