Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Mact
1,9.83,-0.39,0.82048,-0.282,3.744,4.554,12.9,0.038,0.0,18.375,17.819,17.202,16.833,16.784,0.82
1,9.83,-0.21,0.89202,-0.155,3.751,4.493,10.1,0.038,0.0,15.258,14.7,14.108,13.76,13.714,0.892
1,9.83,-0.15,0.21592,-2.139,3.553,5.068,10.5,0.038,0.0,20.618,20.209,18.845,18.288,18.063,0.216
1,9.83,-0.13,0.28185,-1.916,3.565,5.011,10.7,0.038,0.0,20.261,19.817,18.505,17.941,17.741,0.282
1,9.83,-0.11,0.11031,-2.916,3.47,5.225,8.4,0.037,0.0,20.461,20.317,18.482,17.945,17.69,0.11
1,9.83,0.01,0.29511,-1.884,3.56,4.976,8.2,0.037,0.0,17.68,17.262,15.902,15.34,15.131,0.295
1,9.83,0.07,0.28236,-1.936,3.554,4.988,10.8,0.038,0.0,20.41,20.008,18.625,18.065,17.845,0.282
1,9.85,-0.55,0.17189,-2.336,3.546,5.142,9.4,0.038,0.0,20.011,19.6,18.257,17.693,17.463,0.172
1,9.85,-0.29,0.60667,-1.003,3.642,4.738,11.0,0.038,0.0,18.278,17.736,16.755,16.111,16.007,0.607
1,9.85,-0.27,0.37353,-1.641,3.588,4.95,9.9,0.038,0.0,18.772,18.266,17.082,16.494,16.331,0.374
1,9.85,-0.15,0.20704,-2.172,3.551,5.075,10.9,0.038,0.0,21.101,20.698,19.325,18.769,18.54,0.207
1,9.85,-0.13,1.17875,-1.419,4.325,7.873,8.6,0.037,0.0,16.918,19.214,19.501,19.614,19.673,0.589
1,9.85,-0.11,0.26331,-1.975,3.561,5.022,11.5,0.038,0.0,21.208,20.778,19.443,18.881,18.672,0.263
1,9.85,-0.07,0.55255,-1.21,3.614,4.792,10.2,0.038,0.0,17.996,17.482,16.384,15.72,15.597,0.553
1,9.85,-0.03,0.26259,-1.991,3.556,5.017,7.1,0.033,0.0,16.848,16.436,15.068,14.509,14.291,0.263
1,9.87,-0.57,0.20664,-2.082,3.58,5.102,10.7,0.038,0.0,20.675,20.162,18.982,18.42,18.238,0.207
1,9.87,-0.55,0.19275,-2.171,3.569,5.116,9.8,0.038,0.0,19.998,19.514,18.281,17.724,17.525,0.193
1,9.87,-0.55,0.14803,-2.527,3.521,5.166,10.2,0.038,0.0,21.287,20.95,19.471,18.902,18.668,0.148
1,9.87,-0.51,0.28308,-1.822,3.592,5.025,11.3,0.038,0.0,20.624,20.093,18.964,18.387,18.221,0.283
1,9.87,-0.33,0.19945,-2.173,3.559,5.092,10.9,0.038,0.0,21.101,20.662,19.353,18.794,18.579,0.199
