# NASA Exoplanet Archive cumulative KOI table, downloaded 2026-08-22 15:44 UTC+1.
# Columns used by fpp/own_fpp.py, in the archive's row order: kepoi_name [-],
# koi_disposition [-], koi_period [d], koi_prad [R_earth].
kepoi_name,koi_disposition,koi_period,koi_prad
K00927.01,FALSE POSITIVE,23.899634407,44.04
K00939.01,CONFIRMED,3.388012244,2.11
K00939.02,CONFIRMED,5.83909761,2.06
K00939.03,CONFIRMED,1.620467654,1.57
K00939.04,CONFIRMED,10.6816951,2.3
K00940.01,CONFIRMED,6.104849417,3.18
K00127.01,CONFIRMED,3.578780566,10.43
K00933.01,FALSE POSITIVE,3.187067566,23.88
K00934.01,CONFIRMED,5.826657508,4.09
K00934.02,CONFIRMED,12.41216347,2.58
K00934.03,CONFIRMED,18.74649011,3.05
K00935.01,CONFIRMED,20.86021229,5.5
K00935.02,CONFIRMED,42.63427848,5.22
K00935.03,CONFIRMED,87.6476068,4.0
K00935.04,CANDIDATE,9.61731426,1.94
K00936.01,CONFIRMED,9.467821474,2.13
K00936.02,CONFIRMED,0.893040969,1.24
K00128.01,CONFIRMED,4.942783419,10.62
K00937.01,CONFIRMED,20.83426731,2.74
K00938.01,CONFIRMED,9.94602357,3.12
K00938.02,CONFIRMED,1.04562195,1.45
K00938.03,CONFIRMED,5.71462396,1.78
K00145.01,FALSE POSITIVE,102.9641952,39.0
K01102.02,CONFIRMED,8.14515981,3.43
K01102.03,CONFIRMED,18.9985279,43.17
K01102.04,CONFIRMED,4.24439049,2.07
K01103.01,CANDIDATE,90.1240507,7.12
K00150.02,CONFIRMED,28.5742692,2.32
K01168.01,CANDIDATE,856.672115,3.87
K01169.01,CANDIDATE,0.689210173,1.32
K01170.01,CONFIRMED,7.34373964,1.84
K01171.01,FALSE POSITIVE,0.445277068,35.74
K00966.01,FALSE POSITIVE,0.379463865,59.56
K00967.01,FALSE POSITIVE,9.88047978,23.6
K00968.01,FALSE POSITIVE,4.6484156,5.06
K00969.01,FALSE POSITIVE,17.512014768,13.66
K00970.01,CANDIDATE,3.9886021,34.39
K00971.01,CANDIDATE,0.533059312,133.56
K01044.01,FALSE POSITIVE,0.525154153,23.61
K01045.01,FALSE POSITIVE,1.303861044,27.85
K01046.01,FALSE POSITIVE,0.73452496,
K01047.01,FALSE POSITIVE,2.55549176,23.35
K00014.01,FALSE POSITIVE,2.947376671,403.59
K00139.01,CONFIRMED,224.7789355,7.67
K01104.01,FALSE POSITIVE,0.890110752,1.25
K01105.01,FALSE POSITIVE,5.76573396,7.47
K01106.01,CONFIRMED,7.42608123,2.47
K01106.02,CONFIRMED,15.9868932,1.62
