lhood_heb L_heb pr_heb lhood_heb_Px2 L_heb_Px2 pr_heb_Px2 lhood_eb L_eb pr_eb lhood_eb_Px2 L_eb_Px2 pr_eb_Px2 lhood_beb L_beb pr_beb lhood_beb_Px2 L_beb_Px2 pr_beb_Px2 lhood_pl L_pl pr_pl fpV fp FPP
0.00e+00 0.00e+00 0.00e+00 1.40e-90 8.15e-96 2.35e-93 6.48e-264 1.23e-266 3.55e-264 2.82e-94 8.40e-99 2.42e-96 1.52e-04 2.47e-07 7.13e-05 2.22e-21 2.70e-24 7.79e-22 7.54e-01 3.46e-03 1.00e+00 0.00127 0.089 7.13e-05
0.00e+00 0.00e+00 0.00e+00 3.12e-88 1.58e-93 4.93e-91 4.96e-273 9.76e-276 3.04e-273 2.28e-92 5.40e-97 1.69e-94 6.26e-04 1.00e-06 3.13e-04 2.66e-21 3.18e-24 9.93e-22 6.98e-01 3.20e-03 1.00e+00 0.00556 0.089 3.13e-04
0.00e+00 0.00e+00 0.00e+00 5.55e-95 3.86e-100 1.12e-97 1.54e-266 3.00e-269 8.72e-267 5.07e-94 1.47e-98 4.29e-96 2.62e-04 4.24e-07 1.23e-04 1.86e-26 2.20e-29 6.39e-27 7.49e-01 3.44e-03 1.00e+00 0.00219 0.089 1.23e-04
0.00e+00 0.00e+00 0.00e+00 1.34e-93 9.54e-99 2.77e-96 5.13e-273 9.65e-276 2.81e-273 1.49e-94 4.11e-99 1.19e-96 2.15e-04 3.44e-07 1.00e-04 5.95e-23 7.02e-26 2.04e-23 7.49e-01 3.44e-03 1.00e+00 0.00178 0.089 1.00e-04
0.00e+00 0.00e+00 0.00e+00 6.04e-93 3.40e-98 9.92e-96 8.05e-287 1.55e-289 4.51e-287 2.64e-101 6.86e-106 2.00e-103 4.35e-04 7.08e-07 2.06e-04 4.82e-22 5.72e-25 1.67e-22 7.47e-01 3.43e-03 1.00e+00 0.00367 0.089 2.06e-04
0.00e+00 0.00e+00 0.00e+00 1.58e-89 7.72e-95 2.24e-92 1.52e-269 2.97e-272 8.62e-270 2.80e-115 7.27e-120 2.11e-117 2.62e-04 4.13e-07 1.20e-04 1.84e-22 2.25e-25 6.53e-23 7.50e-01 3.44e-03 1.00e+00 0.00213 0.089 1.20e-04
0.00e+00 0.00e+00 0.00e+00 2.20e-89 9.52e-95 2.78e-92 4.67e-258 9.35e-261 2.73e-258 1.54e-97 5.43e-102 1.59e-99 2.88e-04 4.72e-07 1.38e-04 5.49e-24 6.53e-27 1.91e-24 7.46e-01 3.42e-03 1.00e+00 0.00245 0.089 1.38e-04
0.00e+00 0.00e+00 0.00e+00 6.20e-81 2.09e-86 6.20e-84 1.53e-266 2.99e-269 8.83e-267 4.86e-103 1.63e-107 4.84e-105 5.12e-04 8.47e-07 2.51e-04 1.46e-27 1.75e-30 5.18e-28 7.36e-01 3.38e-03 1.00e+00 0.00445 0.089 2.51e-04
0.00e+00 0.00e+00 0.00e+00 2.75e-96 1.40e-101 4.06e-99 7.77e-261 1.48e-263 4.32e-261 3.29e-98 1.08e-102 3.15e-100 4.15e-04 6.82e-07 1.98e-04 9.15e-22 1.10e-24 3.20e-22 7.49e-01 3.44e-03 1.00e+00 0.00352 0.089 1.98e-04
0.00e+00 0.00e+00 0.00e+00 6.79e-86 2.80e-91 8.15e-89 6.30e-270 1.24e-272 3.60e-270 5.01e-103 1.45e-107 4.23e-105 7.94e-05 1.30e-07 3.78e-05 2.63e-22 3.15e-25 9.15e-23 7.49e-01 3.44e-03 1.00e+00 0.000671 0.089 3.78e-05
0.00e+00 0.00e+00 0.00e+00 1.76e-97 9.60e-103 2.92e-100 8.96e-269 1.69e-271 5.13e-269 2.99e-96 6.18e-101 1.88e-98 2.12e-04 3.43e-07 1.04e-04 5.07e-31 6.10e-34 1.85e-31 7.17e-01 3.29e-03 1.00e+00 0.00185 0.089 1.04e-04
0.00e+00 0.00e+00 0.00e+00 1.93e-98 1.09e-103 3.16e-101 6.93e-270 1.40e-272 4.07e-270 6.65e-95 2.09e-99 6.08e-97 1.01e-04 1.66e-07 4.83e-05 5.65e-22 6.87e-25 2.00e-22 7.48e-01 3.43e-03 1.00e+00 0.000858 0.089 4.83e-05
0.00e+00 0.00e+00 0.00e+00 7.62e-97 5.29e-102 1.54e-99 7.57e-253 1.51e-255 4.41e-253 2.04e-97 6.71e-102 1.96e-99 2.70e-04 4.34e-07 1.27e-04 8.16e-22 9.64e-25 2.81e-22 7.47e-01 3.43e-03 1.00e+00 0.00225 0.089 1.27e-04
